Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,20.72
2010,UNIDAD_MEDIDA.PT,ES53,22.71
2011,UNIDAD_MEDIDA.PT,ES,20.65
2011,UNIDAD_MEDIDA.PT,ES53,21.00
2012,UNIDAD_MEDIDA.PT,ES,20.83
2012,UNIDAD_MEDIDA.PT,ES53,19.86
2013,UNIDAD_MEDIDA.PT,ES,20.38
2013,UNIDAD_MEDIDA.PT,ES53,19.77
2014,UNIDAD_MEDIDA.PT,ES,22.23
2014,UNIDAD_MEDIDA.PT,ES53,17.87
2015,UNIDAD_MEDIDA.PT,ES,22.13
2015,UNIDAD_MEDIDA.PT,ES53,21.69
2016,UNIDAD_MEDIDA.PT,ES,22.35
2016,UNIDAD_MEDIDA.PT,ES53,15.55
2017,UNIDAD_MEDIDA.PT,ES,21.61
2017,UNIDAD_MEDIDA.PT,ES53,21.25
2018,UNIDAD_MEDIDA.PT,ES,21.54
2018,UNIDAD_MEDIDA.PT,ES53,15.37
2019,UNIDAD_MEDIDA.PT,ES,20.66
2019,UNIDAD_MEDIDA.PT,ES53,12.05
2020,UNIDAD_MEDIDA.PT,ES,20.97
2020,UNIDAD_MEDIDA.PT,ES53,14.07
