"","Series","Units","Value","Year","Territorio"
"2620","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2021","España"
"2621","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2012","España"
"2622","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2018","España"
"2623","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2015","Canarias"
"2624","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2018","Canarias"
"2625","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2019","España"
"2626","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2013","España"
"2627","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2020","Canarias"
"2628","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2010","España"
"2629","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2012","Canarias"
"2630","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2015","España"
"2631","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2011","Canarias"
"2632","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2016","España"
"2633","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2016","Canarias"
"2634","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2014","Canarias"
"2635","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2017","España"
"2636","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2021","Canarias"
"2637","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2017","Canarias"
"2638","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2011","España"
"2639","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2013","Canarias"
"2640","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2014","España"
"2641","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2020","España"
"2642","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2010","Canarias"
"2643","Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones","Lógica (1=Sí, 0=No)","1","2019","Canarias"
