"Year","Units","Series","Territorio","Value"
2019,"Índice","Índice de precios de los alimentos","España",96.09
2020,"Índice","Índice de precios de los alimentos","España",98.4
2021,"Índice","Índice de precios de los alimentos","España",100
2022,"Índice","Índice de precios de los alimentos","España",111.89
2015,"Índice","Índice de precios de los alimentos","Aragón",91.2
2015,"Índice","Índice de precios de los alimentos","España",91.18
2014,"Índice","Índice de precios de los alimentos","España",90.1
2012,"Índice","Índice de precios de los alimentos","España",87.88
2016,"Índice","Índice de precios de los alimentos","Aragón",92.49
2020,"Índice","Índice de precios de los alimentos","Aragón",97.9
2018,"Índice","Índice de precios de los alimentos","España",95.13
2013,"Índice","Índice de precios de los alimentos","España",90.42
2022,"Índice","Índice de precios de los alimentos","Aragón",112.71
2021,"Índice","Índice de precios de los alimentos","Aragón",100
2019,"Índice","Índice de precios de los alimentos","Aragón",95.84
2017,"Índice","Índice de precios de los alimentos","España",93.63
2017,"Índice","Índice de precios de los alimentos","Aragón",93.51
2014,"Índice","Índice de precios de los alimentos","Aragón",90.45
2011,"Índice","Índice de precios de los alimentos","España",85.9
2012,"Índice","Índice de precios de los alimentos","Aragón",88.04
2010,"Índice","Índice de precios de los alimentos","España",84.23
2023,"Índice","Índice de precios de los alimentos","España",124.89
2023,"Índice","Índice de precios de los alimentos","Aragón",124.99
2018,"Índice","Índice de precios de los alimentos","Aragón",94.82
2016,"Índice","Índice de precios de los alimentos","España",92.46
2010,"Índice","Índice de precios de los alimentos","Aragón",84.04
2013,"Índice","Índice de precios de los alimentos","Aragón",90.96
2011,"Índice","Índice de precios de los alimentos","Aragón",85.73
2015,"Índice","Índice de precios del pan y los cereales","España",96.58
2015,"Índice","Índice de precios del pan y los cereales","Aragón",97.63
2016,"Índice","Índice de precios del pan y los cereales","Aragón",97.79
2012,"Índice","Índice de precios del pan y los cereales","España",95.69
2022,"Índice","Índice de precios del pan y los cereales","España",114.86
2012,"Índice","Índice de precios del pan y los cereales","Aragón",96.74
2019,"Índice","Índice de precios del pan y los cereales","Aragón",98.27
2017,"Índice","Índice de precios del pan y los cereales","Aragón",96.42
2014,"Índice","Índice de precios del pan y los cereales","Aragón",97.83
2023,"Índice","Índice de precios del pan y los cereales","Aragón",129.75
2013,"Índice","Índice de precios del pan y los cereales","Aragón",98.98
2021,"Índice","Índice de precios del pan y los cereales","España",100
2019,"Índice","Índice de precios del pan y los cereales","España",98.31
2021,"Índice","Índice de precios del pan y los cereales","Aragón",100
2018,"Índice","Índice de precios del pan y los cereales","Aragón",96.89
2014,"Índice","Índice de precios del pan y los cereales","España",96.44
2022,"Índice","Índice de precios del pan y los cereales","Aragón",116.39
2023,"Índice","Índice de precios del pan y los cereales","España",127.41
2010,"Índice","Índice de precios del pan y los cereales","Aragón",92.89
2011,"Índice","Índice de precios del pan y los cereales","Aragón",94.52
2017,"Índice","Índice de precios del pan y los cereales","España",96.44
2020,"Índice","Índice de precios del pan y los cereales","Aragón",99.51
2020,"Índice","Índice de precios del pan y los cereales","España",99.27
2011,"Índice","Índice de precios del pan y los cereales","España",93.75
2010,"Índice","Índice de precios del pan y los cereales","España",91.92
2016,"Índice","Índice de precios del pan y los cereales","España",96.83
2018,"Índice","Índice de precios del pan y los cereales","España",97.17
2013,"Índice","Índice de precios del pan y los cereales","España",96.91
