"Year","Units","Series","Territorio","Value"
"2023","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2016","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2013","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2010","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2011","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2020","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2014","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2014","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2012","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2019","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2023","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2011","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2015","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2017","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2021","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2022","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2013","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2022","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2015","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2018","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2016","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2010","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2021","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2018","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2012","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2019","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","España","100"
"2017","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2020","Porcentaje","Proporción de centros educativos no universitarios con acceso a electricidad","Aragón","100"
"2017","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","94.6"
"2015","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","96.9"
"2017","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","88.3"
"2014","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","91.5"
"2012","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","86.7"
"2011","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","80.6"
"2019","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","84"
"2021","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","97.4"
"2011","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","90.4"
"2014","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","97.3"
"2021","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","83"
"2013","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","94.4"
"2015","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","92.7"
"2012","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","Aragón","93.3"
"2013","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","89.8"
"2019","Porcentaje","Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios","España","96.8"
"2015","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","3"
"2019","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","2.6"
"2012","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","3.2"
"2011","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","3.3"
"2011","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","3.5"
"2015","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","2.5"
"2014","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","2.6"
"2014","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","3"
"2010","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","4.3"
"2010","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","4.1"
"2012","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","2.9"
"2021","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","2.6"
"2019","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","2.9"
"2017","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","2.5"
"2017","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","3"
"2021","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","2.5"
"2013","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","España","3.1"
"2013","Número","Alumnado medio por ordenador destinado a tareas de enseñanza y aprendizaje en centros educativos no universitarios","Aragón","2.6"
