"","Series","Units","Value","Year","Territorio"
"2782","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","55.84","2015","Canarias"
"2783","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","98.81","2012","España"
"2784","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","62.47","2019","España"
"2785","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","49.82","2017","Canarias"
"2786","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","47.77","2018","Canarias"
"2787","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","110.47","2010","España"
"2788","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","45","2019","Canarias"
"2789","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","64.04","2013","Canarias"
"2790","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","71.26","2012","Canarias"
"2791","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","75.61","2016","España"
"2792","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","82.3","2010","Canarias"
"2793","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","57.05","2020","España"
"2794","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","103.48","2011","España"
"2795","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","52.9","2016","Canarias"
"2796","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","67.08","2018","España"
"2797","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","41.81","2020","Canarias"
"2798","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","70.54","2017","España"
"2799","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","75.45","2011","Canarias"
"2800","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","79.88","2015","España"
"2801","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","57.93","2014","Canarias"
"2802","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","90.41","2013","España"
"2803","Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años","Por 100.000","82.84","2014","España"
