"Year","Units","Series","Territorio","Value"
2013,"Euros","Valor añadido del sector manufacturero per cápita","España",2447.89
2016,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",4039.06
2012,"Euros","Valor añadido del sector manufacturero per cápita","España",2464.68
2014,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",3890.66
2021,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",4649.54
2011,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",3740.6
2014,"Euros","Valor añadido del sector manufacturero per cápita","España",2506.52
2011,"Euros","Valor añadido del sector manufacturero per cápita","España",2618.51
2021,"Euros","Valor añadido del sector manufacturero per cápita","España",2650.4
2020,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",4269.76
2010,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",3811.83
2018,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",4533.86
2022,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",5353.86
2018,"Euros","Valor añadido del sector manufacturero per cápita","España",2785.61
2013,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",3528.6
2010,"Euros","Valor añadido del sector manufacturero per cápita","España",2671.08
2016,"Euros","Valor añadido del sector manufacturero per cápita","España",2682.87
2019,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",4633.98
2015,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",3953.06
2022,"Euros","Valor añadido del sector manufacturero per cápita","España",2743.58
2020,"Euros","Valor añadido del sector manufacturero per cápita","España",2344.98
2019,"Euros","Valor añadido del sector manufacturero per cápita","España",2776.07
2017,"Euros","Valor añadido del sector manufacturero per cápita","España",2830.25
2015,"Euros","Valor añadido del sector manufacturero per cápita","España",2625.02
2017,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",4288.84
2012,"Euros","Valor añadido del sector manufacturero per cápita","Aragón",3391.54
2022,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",10.99
2020,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",15.98
2021,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",16.16
2013,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",14.8
2021,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.13
2016,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.21
2020,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",10.47
2018,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",16.09
2014,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",15.95
2019,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",16.07
2015,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.29
2018,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.12
2010,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",15.18
2017,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.51
2017,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",15.75
2011,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.44
2013,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.14
2012,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",14.32
2019,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",10.95
2014,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.21
2022,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",17
2012,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.09
2016,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",15.45
2010,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","España",11.53
2015,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",15.84
2011,"Porcentaje","Valor añadido del sector manufacturero en proporción al PIB","Aragón",15.09
