Indicator,Disaggregation combinations using this value
#1-2-1,4
#1-2-2,4
#1-4-1,3
#1-5-1,1
#1-5-2,11
#1-a-2,2
#10-1-1,4
#10-2-1,2
#10-4-1,1
#11-1-1,2
#11-5-1,1
#11-6-1,4
#12-5-1,1
#12-6-1,2
#13-1-1,1
#13-2-2,4
#15-1-1,1
#15-2-1,2
#16-1-4,1
#16-2-2,5
#16-3-2,1
#16-7-1,12
#16-9-1,1
#17-1-1,1
#17-1-2,2
#17-18-2,1
#17-18-3,1
#17-19-2,1
#17-19-2a,1
#17-19-2b,12
#17-3-1,4
#17-3-2,2
#17-8-1,1
#2-2-2,1
#2-4-1,1
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-3-1,3
#3-3-2,3
#3-3-3,3
#3-3-4,3
#3-4-1,4
#3-4-2,1
#3-5-1,6
#3-6-1,1
#3-7-1,1
#3-7-2,2
#3-8-1,1
#3-8-2,1
#3-9-3,1
#3-a-1,1
#3-b-1,4
#3-c-1,4
#4-2-2,3
#4-3-1,4
#4-4-1,3
#4-5-1,5
#4-6-1,6
#4-a-1,6
#4-c-1,4
#5-3-1,1
#5-4-1,3
#5-5-1,4
#5-5-2,3
#5-a-1a,3
#5-a-1b,3
#5-b-1,3
#6-1-1,1
#6-b-1,2
#7-2-1,1
#7-3-1,1
#8-1-1,1
#8-10-1,11
#8-10-2,1
#8-2-1,2
#8-5-1,5
#8-5-2,6
#8-6-1,1
#8-9-1,4
#8-b-1,2
#9-2-1,2
#9-2-2,3
#9-3-1,1
#9-4-1,4
#9-5-1,1
#9-5-2,1
#9-c-1,2
