Year,Units,Series,Territorio,Value
2014,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,31.31
2014,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,29.05
2017,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,29.87
2016,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,1.1
2019,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,1.35
2019,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,31.1
2016,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,27.92
2015,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,28.67
2016,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,33.86
2014,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,1.12
2018,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,35.02
2018,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,1.35
2015,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,1.17
2017,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,1.21
2018,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,30.17
2019,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,37.96
2015,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,30.52
2017,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,36.11
