Year,Unnamed: 0,Series,Units,Territorio,Value
2015,2782,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,55.84
2012,2783,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,98.81
2019,2784,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,62.47
2017,2785,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,49.82
2018,2786,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,47.77
2010,2787,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,110.47
2019,2788,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,45.0
2013,2789,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,64.04
2012,2790,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,71.26
2016,2791,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,75.61
2010,2792,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,82.3
2020,2793,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,57.05
2011,2794,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,103.48
2016,2795,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,52.9
2018,2796,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,67.08
2020,2797,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,41.81
2017,2798,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,70.54
2011,2799,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,75.45
2015,2800,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,79.88
2014,2801,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,Canarias,57.93
2013,2802,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,90.41
2014,2803,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Por 100.000,España,82.84
