Year,Units,Series,Territorio,Value
2019,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.91
2013,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,96.0
2020,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.95
2016,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.02
2019,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.77
2017,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.75
2020,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.97
2013,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.0
2014,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,98.9
2018,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.8
2015,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.65
2014,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,96.0
2017,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.9
2016,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.72
2018,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.9
2015,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,98.93
2012,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,93.1
2012,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,96.4
2021,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.91
2019,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,98.89
2021,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,99.73
2020,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.87
2015,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,66.12
2022,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.89
2018,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,97.78
2014,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,47.8
2018,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.53
2020,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,99.55
2022,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,99.67
2017,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,97.22
2014,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,53.5
2016,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,94.42
2019,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.77
2017,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,90.87
2016,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,86.4
2015,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,76.35
