Year,Units,Series,Territorio,Value
2011,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.9
2013,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2019,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.93
2022,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.94
2021,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2014,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2019,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2010,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.92
2017,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.89
2015,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.92
2020,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2015,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.92
2016,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2018,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.92
2012,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.94
2020,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.9
2013,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.95
2014,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.89
2021,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.95
2018,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.97
2016,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.93
2010,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.94
2011,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.94
2017,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2012,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,Aragón,99.9
2022,Porcentaje,Proporción de partos atendidos por personal sanitario especializado,España,99.91
