Year,Units,Series,Territorio,Value
2016,Porcentaje,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",España,44.88
2016,Porcentaje,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",Aragón,46.31
2009,Porcentaje,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",Aragón,41.96
2013,Porcentaje,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",España,43.74
2013,Porcentaje,"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",Aragón,44.95
2013,Porcentaje,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",Aragón,51.45
2016,Porcentaje,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",España,44.08
2016,Porcentaje,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",Aragón,49.38
2013,Porcentaje,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",España,45.03
2009,Porcentaje,"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",Aragón,47.38
2016,Porcentaje,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",España,46.64
2013,Porcentaje,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",España,41.31
2013,Porcentaje,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",Aragón,31.4
2009,Porcentaje,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",Aragón,29.69
2016,Porcentaje,"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",Aragón,38.8
