Year,Units,Series,Territorio,Value
2012,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,22.1
2017,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,20.15
2013,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,21.89
2011,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,27.15
2019,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,25.78
2017,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,26.47
2015,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,20.97
2011,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,21.7
2019,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,19.07
2012,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,27.77
2014,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,21.36
2014,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,26.86
2013,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,27.17
2015,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,26.93
2016,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,26.51
2021,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,19.71
2020,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,20.2
2016,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,20.5
2018,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,25.86
2020,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,Aragón,30.76
2018,Toneladas equivalentes de petróleo por millón de euros,Consumo de energía eléctrica por unidad de PIB,España,19.77
