Year,Units,Series,Territorio,Value
2019,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,4133.64
2020,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,4538.09
2013,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,106.84
2010,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,4994.44
2019,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,109.81
2012,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,86.52
2011,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,140.22
2015,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,3089.97
2016,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,3127.38
2021,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,6608.68
2012,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,4004.13
2017,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,127.79
2016,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,90.36
2021,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,146.76
2014,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,2975.23
2011,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,4642.07
2018,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,3752.89
2017,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,3654.89
2020,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,104.56
2015,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,111.14
2010,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,151.24
2013,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,España,2799.03
2014,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,98.15
2018,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,133.75
2020,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,1.67
2021,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,1.54
2018,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,2.24
2016,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,1.85
2017,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,2.08
2014,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,1.76
2012,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,2.6
2014,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,2.18
2013,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,1.73
2013,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,1.73
2018,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,1.98
2015,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,1.81
2011,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,2.69
2010,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,3.01
2010,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,2.76
2011,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,2.85
2012,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,2.34
2015,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,1.92
2016,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,1.87
2017,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,1.69
2019,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,2.07
2020,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,España,1.94
2019,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas en fomento del empleo,Aragón,2.16
