Year,Units,Series,Territorio,Value
2017,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,43.8
2015,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,45.74
2018,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,45.35
2016,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,45.22
2017,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,45.07
2019,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,46.28
2013,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,44.26
2020,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,45.84
2012,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,46.69
2020,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,48.47
2010,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,49.11
2014,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,44.04
2011,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,48.26
2019,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,44.59
2016,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,43.69
2021,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,47.55
2018,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,44.12
2013,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,45.82
2014,Porcentaje,Proporción del PIB generada por el trabajo asalariado,España,45.88
2011,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,46.89
2012,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,45.79
2010,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,47.66
2015,Porcentaje,Proporción del PIB generada por el trabajo asalariado,Aragón,44.47
