Year,Units,Series,Territorio,Value
2021,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2015,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2014,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2016,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2018,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2016,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2020,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2015,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2012,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2013,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2011,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2020,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2014,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2018,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2017,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2019,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2013,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2012,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2010,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2017,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
2011,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2019,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,España,1
2021,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,1
2010,"Lógica (1=Sí, 0=No)",La legislación  sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales,Aragón,0
