Year,Units,Series,Territorio,Value
2015,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,95.45
2011,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,92.79
2017,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,96.4
2013,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,94.18
2020,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,98.89
2015,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,95.2
2012,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,94.38
2017,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,96.16
2010,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,93.3
2014,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,94.0
2021,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,99.02
2011,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,93.6
2021,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,99.17
2019,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,96.92
2010,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,92.3
2019,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,97.5
2020,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,99.4
2012,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,95.3
2014,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,España,95.01
2013,Porcentaje,Proporción de personas entre 16 y 74 años que utilizan el teléfono móvil,Aragón,95.3
2013,Porcentaje,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,Aragón,95.4
2017,Porcentaje,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,Aragón,94.6
2010,Porcentaje,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,Aragón,93.3
2020,Porcentaje,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,98.91
2010,Porcentaje,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,España,92.18
2021,Porcentaje,Proporción de mujeres entre 16 y 74 años que utilizan el teléfono móvil,Aragón,98.31
