Year,Units,Series,Territorio,Value
2018,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.8
2020,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.95
2015,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,98.93
2012,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,93.1
2015,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.65
2020,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.97
2017,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.9
2019,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.77
2019,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.91
2017,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.75
2013,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,96.0
2016,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,99.02
2014,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",Aragón,96.0
2016,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.72
2014,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,98.9
2018,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.9
2013,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.0
2012,Porcentaje,"Proporción de hogares cubiertos con redes móviles 3,5G",España,96.4
2015,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,66.12
2018,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,97.78
2017,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,97.22
2020,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,99.55
2015,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,76.35
2020,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.87
2016,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,86.4
2014,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,53.5
2019,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,98.89
2017,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,Aragón,90.87
2018,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.53
2016,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,94.42
2019,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.77
2014,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,47.8
2021,Porcentaje,Proporción de hogares cubiertos con redes móviles 4G,España,99.91
