Year,Units,Territorio,Value
2010,Porcentaje,ES,20.72
2010,Porcentaje,ES53,22.71
2011,Porcentaje,ES,20.65
2011,Porcentaje,ES53,21.0
2012,Porcentaje,ES,20.83
2012,Porcentaje,ES53,19.86
2013,Porcentaje,ES,20.38
2013,Porcentaje,ES53,19.77
2014,Porcentaje,ES,22.23
2014,Porcentaje,ES53,17.87
2015,Porcentaje,ES,22.13
2015,Porcentaje,ES53,21.69
2016,Porcentaje,ES,22.35
2016,Porcentaje,ES53,15.55
2017,Porcentaje,ES,21.61
2017,Porcentaje,ES53,21.25
2018,Porcentaje,ES,21.54
2018,Porcentaje,ES53,15.37
2019,Porcentaje,ES,20.66
2019,Porcentaje,ES53,12.05
2020,Porcentaje,ES,20.97
2020,Porcentaje,ES53,14.07
