Year,Unnamed: 0,Series,Units,Territorio,Value
2010,2656,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,43.88
2018,2657,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,20.45
2011,2658,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,63.19
2012,2659,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,27.22
2015,2660,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,17.0
2014,2661,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,15.97
2016,2662,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,16.75
2013,2663,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,17.99
2017,2664,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,16.59
2010,2665,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,119.45
2014,2666,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,44892.0
2019,2667,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,57.96
2013,2668,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,15.44
2012,2669,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,44570.0
2020,2670,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,España,30.55
2011,2671,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,4.87
2015,2672,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,17.72
2017,2673,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,1.58
2016,2674,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,1.43
2018,2675,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,7.31
2020,2676,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,44737.0
2019,2677,"Indemnizaciones por daños personales, perdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",Porcentaje,Canarias,0.19
