Year,Units,Series,Territorio,Value
2018,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,15.94
2012,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,12.05
2010,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,21.82
2012,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,3.73
2011,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,6.06
2020,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,12.96
2019,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,5.55
2017,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,8.16
2010,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,5.9
2016,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,15.89
2020,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,19.71
2017,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,11.54
2019,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,14.7
2015,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,15.18
2014,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,17.05
2015,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,5.62
2014,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,7.55
2013,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,16.74
2011,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,16.05
2016,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,3.54
2018,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,9.78
2013,Porcentaje,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Aragón,12.16
2011,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.59
2015,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,9.03
2016,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,9.59
2017,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.18
2013,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,18.34
2017,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,9.46
2020,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,21.89
2010,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,10.21
2018,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,16.99
2019,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,9.95
2014,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,13.76
2011,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,7.44
2013,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,17.32
2020,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,16.87
2012,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,5.46
2018,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,Aragón,12.96
2010,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,18.41
2014,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.86
2019,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,14.08
2015,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.69
2016,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,16.24
2012,Porcentaje,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.02
