Year,Units,Series,Territorio,Value
2020,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,22.6
2019,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.74
2011,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,17.71
2014,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,19.35
2021,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,22.48
2020,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,26.56
2012,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,22.88
2017,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.83
2016,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,19.17
2015,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,21.45
2017,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,19.33
2019,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,19.72
2013,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,21.65
2014,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,22.55
2018,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,19.86
2018,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.95
2010,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,20.22
2012,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,20.52
2015,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,21.57
2013,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Aragón,19.03
2011,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,19.67
2021,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,25.96
2010,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,21.35
2016,Porcentaje,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.85
