Year,Units,Series,Territorio,Value
2018,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,67.77
2015,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,52.31
2022,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,71.67
2016,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,53.33
2012,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,49.01
2019,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,68.96
2010,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,47.89
2011,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,48.36
2019,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,56.64
2021,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,59.77
2018,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,55.54
2016,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,65.26
2020,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,58.27
2017,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,54.41
2013,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,61.52
2011,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,60.4
2013,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,50.07
2010,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,59.16
2021,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,71.29
2014,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,62.7
2014,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,51.32
2022,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,60.86
2012,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,60.87
2020,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,70.37
2015,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,63.94
2017,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,66.97
2021,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,69.65
2011,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.31
2020,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,68.57
2019,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,66.8
2010,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.34
2018,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,65.59
2017,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,66.88
2012,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.63
2014,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,61.97
2016,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,62.65
2013,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.11
2017,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,64.28
2014,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,59.03
2020,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,69.82
2010,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,61.22
2022,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,70.53
2018,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,67.46
2011,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,62.17
2013,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,60.74
2015,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,63.15
2015,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,61.1
2016,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,64.76
2019,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,68.2
2021,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,70.47
2022,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,70.0
2012,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,61.64
2012,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,5.73
2018,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.25
2021,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.67
2019,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.4
2020,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.39
2017,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.01
2010,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,4.71
2015,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,6.56
2016,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,6.81
2013,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.98
2022,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.7
2010,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,5.96
2011,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,5.01
2014,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.17
2015,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.46
2016,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.68
2018,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.05
2022,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.53
2013,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,5.94
2020,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.63
2014,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,6.24
2012,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.68
2017,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.87
2011,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.21
2021,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.51
2019,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.2
2011,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,13.88
2010,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,13.76
2017,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Aragón,13.66
2016,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Aragón,13.42
2014,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,14.73
2014,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Aragón,13.19
2012,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Aragón,12.57
2012,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,14.02
2013,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,14.34
2021,Por 10.000 habitantes,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Aragón,14.04
