Year,Units,Series,Territorio,Value
2010,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2016,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2020,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2014,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2018,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2015,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2011,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2014,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2013,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2013,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2019,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2010,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2017,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2015,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2011,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2012,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2021,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2020,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2021,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2016,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,Aragón,100.0
2019,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2018,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2017,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2012,Porcentaje,Proporción de centros educativos no universitarios con acceso a electricidad,España,100.0
2017,Porcentaje,Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios,Aragón,88.3
2015,Porcentaje,Proporción de aulas habituales de clase con conexión a Internet en centros educativos no universitarios,Aragón,96.9
