Year,Units,Territorio,Serie,Serie temporal,Umbral de pobreza,Value
2010,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.72
2011,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.65
2012,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.83
2013,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.38
2014,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.23
2015,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.13
2016,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.35
2017,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.61
2018,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.54
2019,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.66
2020,Porcentaje,nuts.ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.97
2010,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.48
2011,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.37
2012,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.69
2013,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.3
2014,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.45
2015,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.23
2016,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.18
2017,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.62
2018,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.23
2019,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.49
2020,Porcentaje,nuts.ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.71
2010,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.63
2011,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.82
2012,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.98
2013,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.69
2014,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.88
2015,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.51
2016,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.81
2017,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.69
2018,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.14
2019,Porcentaje,nuts.ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.59
