Year,Units,Series,Territorio,Value
2014,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2021,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2013,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2020,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2012,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2015,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2010,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2011,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2018,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2014,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2021,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2011,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2010,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2012,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2019,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2013,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2019,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2016,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2020,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2015,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2016,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2017,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,Aragón,100
2017,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
2018,Porcentaje,Proporción de menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil,España,100
