Year,Units,Series,Territorio,Value
2017,Porcentaje,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.84
2020,Porcentaje,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.31
2018,Porcentaje,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,95.55
2021,Porcentaje,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,92.44
2019,Porcentaje,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.75
2017,Porcentaje,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,88.46
2020,Porcentaje,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,93.71
2021,Porcentaje,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,91.57
2019,Porcentaje,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,94.42
2018,Porcentaje,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,94.79
2021,Porcentaje,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,91.23
2018,Porcentaje,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,94.45
2017,Porcentaje,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,93.14
2019,Porcentaje,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,94.26
2020,Porcentaje,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,93.93
2017,Porcentaje,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,77.78
2021,Porcentaje,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,77.87
2020,Porcentaje,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,81.79
2018,Porcentaje,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,79.41
2019,Porcentaje,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,80.21
