Year,Units,Series,Territorio,Value
2011,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,33.34
2018,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Aragón,45.87
2021,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Aragón,40.07
2020,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Aragón,42.19
2017,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Aragón,44.98
2014,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.33
2015,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.13
2018,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.05
2013,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,35.76
2019,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.25
2019,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Aragón,42.6
2010,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,33.14
2020,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,38.51
2021,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,34.79
2016,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.44
2012,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,34.29
2017,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.17
