Year,Units,Series,Territorio,Value
2019,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.63
2015,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.85
2011,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,17.24
2018,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,15.63
2013,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.18
2012,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.44
2017,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,9.4
2013,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,13.92
2020,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,11.39
2010,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,18.72
2014,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.74
2015,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,12.47
2014,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,13.22
2016,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.66
2019,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,16.15
2020,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,15.72
2016,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,13.42
2011,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.43
2018,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,9.18
2017,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,14.22
2012,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,15.95
2010,Porcentaje,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,Aragón,8.93
