Year,Units,Series,Territorio,Value
2020,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,70.33
2010,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,59.16
2011,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,48.36
2014,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,62.66
2015,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,63.91
2014,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,51.29
2012,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,60.85
2021,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,59.83
2010,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,47.89
2019,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,68.97
2017,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,54.39
2018,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,55.52
2011,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,60.4
2019,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,56.62
2016,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,53.29
2013,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,50.05
2021,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,72.36
2013,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,61.5
2017,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,66.99
2016,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,65.23
2018,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,Aragón,67.77
2012,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,48.99
2015,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,52.29
2020,Por 10.000 habitantes,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,58.27
2021,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,69.72
2014,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,61.93
2018,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,65.57
2015,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,63.12
2017,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,64.26
2020,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,68.57
2020,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,69.79
2018,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,67.47
2016,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,64.73
2011,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.31
2012,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.61
2021,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,71.67
2010,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,61.22
2012,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,61.61
2013,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,60.72
2013,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.09
2017,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,66.89
2016,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,62.61
2019,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,68.2
2011,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Aragón,62.17
2014,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,59.0
2010,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.34
2015,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,61.07
2019,Por 10.000 habitantes,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,66.78
2013,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.98
2021,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.8
2015,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.46
2020,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.63
2010,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,4.71
2019,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.4
2018,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,7.25
2011,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.21
2014,Por 10.000 habitantes,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Aragón,6.23
