Year,Units,Series,Territorio,Value
2011,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,31.02
2021,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,46.71
2018,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,38.45
2016,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,54.23
2017,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,32.26
2013,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,40.16
2020,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,43.98
2019,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,37.54
2022,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,42.22
2014,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,40.48
2011,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,38.65
2012,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,43.13
2012,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,30.14
2020,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,67.68
2016,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,38.61
2023,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,50.34
2015,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,50.7
2023,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,81.83
2014,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,53.13
2022,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,75.05
2013,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,57.03
2015,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,España,35.18
2017,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,44.6
2018,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,56.36
2019,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,54.02
2021,Porcentaje,Proporción de energías renovables en la producción de energía eléctrica,Aragón,77.71
